Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
42,"Wednesday, May 19",boxscore,CHC,,WSN,L,3,4,,21-21,2,3.5,Scherzer,Arrieta,Hand,3:48,N,"11,145",1.08,-,
43,"Thursday, May 20",boxscore,CHC,,WSN,W,5,2,,22-21,2,3,Steele,Ross,Kimbrel,3:07,D,"11,143",1.05,+,
44,"Friday, May 21",boxscore,CHC,@,STL,W,12,3,,23-21,2,2,Hendricks,Helsley,,3:17,N,"24,282",1.39,++,
45,"Saturday, May 22",boxscore,CHC,@,STL,L,1,2,,23-22,2,3,Cabrera,Alzolay,Reyes,2:47,N,"26,027",1.43,-,
46,"Sunday, May 23",boxscore,CHC,@,STL,W,2,1,10,24-22,2,2,Kimbrel,Reyes,,3:38,N,"24,082",1.39,+,
47,"Tuesday, May 25",boxscore,CHC,@,PIT,W,4,3,,25-22,2,0.5,Arrieta,Ponce,Kimbrel,2:59,N,"6,750",1.23,++,
48,"Wednesday, May 26",boxscore,CHC,@,PIT,W,4,1,,26-22,2,0.5,Williams,Crowe,Kimbrel,2:54,N,"5,660",1.29,+++,
49,"Thursday, May 27",boxscore,CHC,@,PIT,W,5,3,,27-22,2,0.5,Hendricks,Anderson,Tepera,3:01,D,"7,202",1.3,++++,
50,"Friday, May 28",boxscore,CHC,,CIN,W,1,0,,28-22,2,0.5,Alzolay,Gutiérrez,Kimbrel,2:57,D,"18,478",1.39,+++++,
51,"Saturday, May 29",boxscore,CHC,,CIN,W,10,2,,29-22,2,0.5,Thompson,Castillo,,3:13,D,"24,275",1.4,++++++,
52,"Sunday, May 30",boxscore,CHC,,CIN,L,1,5,,29-23,2,0.5,Mahle,Arrieta,Antone,3:27,D,"24,824",1.4,-,
53,"Monday, May 31",boxscore,CHC,,SDP,W,7,2,,30-23,1,up 0.5,Stewart,Paddack,,2:53,D,"24,824",1.35,+,
54,"Tuesday, Jun 1",boxscore,CHC,,SDP,W,4,3,,31-23,1,up 0.5,Hendricks,Weathers,Kimbrel,2:52,N,"24,824",1.36,++,
55,"Wednesday, Jun 2",boxscore,CHC,,SDP,W,6,1,,32-23,1,up 1.5,Alzolay,Johnson,,3:16,D,"22,056",1.39,+++,
56,"Thursday, Jun 3",boxscore,CHC,@,SFG,L,2,7,,32-24,1,up 1.5,DeSclafani,Davies,,3:05,N,"10,737",1.38,-,
57,"Friday, Jun 4",boxscore,CHC,@,SFG,L,5,8,,32-25,1,up 1.0,Menez,Arrieta,Rogers,3:14,N,"11,524",1.39,--,
58,"Saturday, Jun 5",boxscore,CHC,@,SFG,L,3,4,,32-26,1,Tied,Gausman,Stewart,Rogers,3:04,D,"12,792",1.42,---,
59,"Sunday, Jun 6",boxscore,CHC,@,SFG,W,4,3,,33-26,1,Tied,Hendricks,Cueto,Kimbrel,3:01,D,"14,089",1.4,+,
60,"Monday, Jun 7",boxscore,CHC,@,SDP,L,4,9,,33-27,2,0.5,Weathers,Alzolay,,3:42,N,"16,045",1.46,-,
61,"Tuesday, Jun 8",boxscore,CHC,@,SDP,W,7,1,,34-27,2,0.5,Davies,Lamet,,2:51,N,"16,207",1.37,+,
62,"Wednesday, Jun 9",boxscore,CHC,@,SDP,W,3,1,,35-27,1,up 0.5,Brothers,Darvish,Kimbrel,2:58,D,"16,482",1.47,++,
63,"Friday, Jun 11",boxscore,CHC,,STL,W,8,5,,36-27,1,Tied,Nance,Cabrera,Kimbrel,3:04,D,"35,112",1.63,+++,
64,"Saturday, Jun 12",boxscore,CHC,,STL,W,7,2,,37-27,1,Tied,Hendricks,Gant,Kimbrel,3:19,N,"39,095",1.58,++++,
65,"Sunday, Jun 13",preview,CHC,,STL,7:08 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
66,"Monday, Jun 14",preview,CHC,@,NYM,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
67,"Tuesday, Jun 15",preview,CHC,@,NYM,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
68,"Wednesday, Jun 16",preview,CHC,@,NYM,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
69,"Thursday, Jun 17",preview,CHC,@,NYM,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
70,"Friday, Jun 18",preview,CHC,,MIA,8:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
71,"Saturday, Jun 19",preview,CHC,,MIA,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
72,"Sunday, Jun 20",preview,CHC,,MIA,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
73,"Monday, Jun 21",preview,CHC,,CLE,8:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
74,"Tuesday, Jun 22",preview,CHC,,CLE,8:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
75,"Thursday, Jun 24",preview,CHC,@,LAD,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
76,"Friday, Jun 25",preview,CHC,@,LAD,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
77,"Saturday, Jun 26",preview,CHC,@,LAD,7:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
78,"Sunday, Jun 27",preview,CHC,@,LAD,7:08 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
79,"Monday, Jun 28",preview,CHC,@,MIL,8:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
80,"Tuesday, Jun 29",preview,CHC,@,MIL,8:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
81,"Wednesday, Jun 30",preview,CHC,@,MIL,2:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
82,"Friday, Jul 2",preview,CHC,@,CIN,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
83,"Saturday, Jul 3",preview,CHC,@,CIN,4:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
84,"Sunday, Jul 4",preview,CHC,@,CIN,1:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
85,"Monday, Jul 5",preview,CHC,,PHI,8:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
86,"Tuesday, Jul 6",preview,CHC,,PHI,8:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
87,"Wednesday, Jul 7",preview,CHC,,PHI,8:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
88,"Thursday, Jul 8",preview,CHC,,PHI,8:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
89,"Friday, Jul 9",preview,CHC,,STL,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
90,"Saturday, Jul 10",preview,CHC,,STL,7:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
91,"Sunday, Jul 11",preview,CHC,,STL,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
92,"Friday, Jul 16",preview,CHC,@,ARI,9:40 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
93,"Saturday, Jul 17",preview,CHC,@,ARI,8:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
94,"Sunday, Jul 18",preview,CHC,@,ARI,4:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
