Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
42,"Tuesday, May 18",boxscore,SFG,@,CIN,W,4,2,,26-16,1,up 0.5,DeSclafani,Castillo,McGee,2:52,N,"8,745",1.33,+++,
43,"Wednesday, May 19",boxscore,SFG,@,CIN,W,4,0,,27-16,1,up 0.5,Gausman,Miley,,3:07,N,"10,326",1.32,++++,
44,"Thursday, May 20",boxscore,SFG,@,CIN,W,19,4,,28-16,1,up 1.0,Cueto,Mahle,,3:47,D,"11,656",1.27,+++++,
45,"Friday, May 21",boxscore,SFG,,LAD,L,1,2,,28-17,1,Tied,Bauer,Wood,Treinen,2:55,N,"12,753",1.52,-,
46,"Saturday, May 22",boxscore,SFG,,LAD,L,3,6,,28-18,2,1,Buehler,Kazmir,Jansen,2:54,D,"13,660",1.54,--,
47,"Sunday, May 23",boxscore,SFG,,LAD,L,5,11,,28-19,3,2,Urias,DeSclafani,,3:06,D,"13,346",1.57,---,
48,"Tuesday, May 25",boxscore,SFG,@,ARI,W,8,0,,29-19,3,1.5,Gausman,Martin,,3:16,N,"10,311",1.24,+,
49,"Wednesday, May 26",boxscore,SFG,@,ARI,W,5,4,,30-19,2,1.5,Tropeano,Young,Rogers,3:03,N,"8,597",1.24,++,
50,"Thursday, May 27",boxscore,SFG,@,LAD,L,3,4,,30-20,3,1.5,Gonzalez,Wood,Jansen,2:26,N,"16,343",1.52,-,
51,"Friday, May 28",boxscore,SFG,@,LAD,W,8,5,10,31-20,2,1.5,Rogers,Jansen,Garcia,3:43,N,"17,873",1.54,+,
52,"Saturday, May 29",boxscore,SFG,@,LAD,W,11,6,,32-20,2,1.5,Webb,Urias,,3:38,D,"19,097",1.6,++,
53,"Sunday, May 30",boxscore,SFG,@,LAD,W,5,4,,33-20,2,0.5,Gausman,Kershaw,McGee,3:07,D,"18,155",1.56,+++,
54,"Monday, May 31",boxscore,SFG,,LAA,W,6,1,,34-20,1,up 0.5,Cueto,Bundy,,2:58,D,"13,144",1.23,++++,
55,"Tuesday, Jun 1",boxscore,SFG,,LAA,L,1,8,,34-21,1,up 0.5,Heaney,Wood,,2:52,N,"10,546",1.22,-,
