away_team,away_score,home_team,home_score
Baltimore Orioles,7,Los Angeles Angels,3
Los Angeles Dodgers,8,Arizona Diamondbacks,1
Toronto Blue Jays,9,Seattle Mariners,1
Philadelphia Phillies,3,Cleveland Guardians,0
Milwaukee Brewers,0,Cleveland Guardians,5
Boston Red Sox,2,Detroit Tigers,14
St. Louis Cardinals,3,Philadelphia Phillies,2
Pittsburgh Pirates,3,New York Mets,4
Washington Nationals,3,Atlanta Braves,4
Miami Marlins,2,Chicago Cubs,5
Colorado Rockies,1,Texas Rangers,2
Kansas City Royals,7,Houston Astros,5
Los Angeles Angels,9,San Diego Padres,5
New York Yankees,11,Seattle Mariners,5
Arizona Diamondbacks,2,San Francisco Giants,1
Milwaukee Brewers,0,Cleveland Guardians,2
Boston Red Sox,9,Detroit Tigers,10
Chicago White Sox,5,Cincinnati Reds,1
Tampa Bay Rays,11,Toronto Blue Jays,9
Pittsburgh Pirates,1,New York Mets,2
Washington Nationals,2,Atlanta Braves,5
Miami Marlins,4,Chicago Cubs,5
Colorado Rockies,1,Texas Rangers,4
Kansas City Royals,1,Houston Astros,2
Los Angeles Angels,4,San Diego Padres,6
New York Yankees,1,Seattle Mariners,2
Arizona Diamondbacks,6,San Francisco Giants,10
Athletics,11,Los Angeles Dodgers,1
Minnesota Twins,NA,Baltimore Orioles,NA
St. Louis Cardinals,NA,Philadelphia Phillies,NA
Minnesota Twins,6,Baltimore Orioles,3
Minnesota Twins,8,Baltimore Orioles,6
St. Louis Cardinals,1,Philadelphia Phillies,2
St. Louis Cardinals,14,Philadelphia Phillies,7
Milwaukee Brewers,9,Cleveland Guardians,5
Arizona Diamondbacks,8,San Francisco Giants,7
New York Yankees,3,Seattle Mariners,2
Boston Red Sox,5,Detroit Tigers,6
Tampa Bay Rays,1,Toronto Blue Jays,3
Pittsburgh Pirates,4,New York Mets,0
Chicago White Sox,4,Cincinnati Reds,2
Washington Nationals,5,Atlanta Braves,4
Miami Marlins,3,Chicago Cubs,1
Colorado Rockies,3,Texas Rangers,8
Kansas City Royals,3,Houston Astros,4
Los Angeles Angels,1,San Diego Padres,5
Athletics,3,Los Angeles Dodgers,9
Washington Nationals,2,Atlanta Braves,5
Minnesota Twins,4,Baltimore Orioles,0
Chicago White Sox,1,Cincinnati Reds,7
Tampa Bay Rays,8,Toronto Blue Jays,3
Houston Astros,0,Texas Rangers,1
Athletics,2,Los Angeles Dodgers,19
Chicago White Sox,3,Chicago Cubs,13
Cleveland Guardians,4,Cincinnati Reds,5
Pittsburgh Pirates,4,Philadelphia Phillies,8
Washington Nationals,4,Baltimore Orioles,3
New York Mets,2,New York Yankees,6
Detroit Tigers,5,Toronto Blue Jays,4
Atlanta Braves,4,Boston Red Sox,2
Tampa Bay Rays,4,Miami Marlins,9
St. Louis Cardinals,10,Kansas City Royals,3
Houston Astros,6,Texas Rangers,3
Minnesota Twins,3,Milwaukee Brewers,0
Colorado Rockies,0,Arizona Diamondbacks,8
Seattle Mariners,5,San Diego Padres,1
Los Angeles Angels,6,Los Angeles Dodgers,2
Athletics,1,San Francisco Giants,9
New York Mets,3,New York Yankees,2
Chicago White Sox,3,Chicago Cubs,7
Detroit Tigers,1,Toronto Blue Jays,2
Washington Nationals,10,Baltimore Orioles,6
Tampa Bay Rays,4,Miami Marlins,0
Pittsburgh Pirates,2,Philadelphia Phillies,5
Cleveland Guardians,1,Cincinnati Reds,4
Houston Astros,1,Texas Rangers,5
St. Louis Cardinals,1,Kansas City Royals,0
Atlanta Braves,6,Boston Red Sox,7
Minnesota Twins,7,Milwaukee Brewers,0
Colorado Rockies,14,Arizona Diamondbacks,12
Seattle Mariners,4,San Diego Padres,1
Athletics,0,San Francisco Giants,1
Los Angeles Angels,11,Los Angeles Dodgers,9
Houston Astros,4,Texas Rangers,3
Washington Nationals,10,Baltimore Orioles,4
Pittsburgh Pirates,0,Philadelphia Phillies,1
Atlanta Braves,10,Boston Red Sox,4
Detroit Tigers,3,Toronto Blue Jays,2
Cleveland Guardians,1,Cincinnati Reds,3
Tampa Bay Rays,1,Miami Marlins,5
St. Louis Cardinals,1,Kansas City Royals,2
Minnesota Twins,2,Milwaukee Brewers,5
Chicago White Sox,2,Chicago Cubs,6
Athletics,2,San Francisco Giants,3
Colorado Rockies,0,Arizona Diamondbacks,1
Los Angeles Angels,6,Los Angeles Dodgers,4
Seattle Mariners,6,San Diego Padres,1
New York Mets,2,New York Yankees,8
Cincinnati Reds,7,Pittsburgh Pirates,1
Chicago Cubs,7,Miami Marlins,8
New York Mets,1,Boston Red Sox,3
Houston Astros,4,Tampa Bay Rays,3
Cleveland Guardians,5,Minnesota Twins,6
Seattle Mariners,5,Chicago White Sox,1
Baltimore Orioles,4,Milwaukee Brewers,5
Detroit Tigers,4,St. Louis Cardinals,11
Philadelphia Phillies,9,Colorado Rockies,3
Kansas City Royals,3,San Francisco Giants,1
Los Angeles Angels,4,Athletics,3
Arizona Diamondbacks,9,Los Angeles Dodgers,5
Cincinnati Reds,0,Pittsburgh Pirates,1
Chicago Cubs,14,Miami Marlins,1
New York Mets,0,Boston Red Sox,2
Atlanta Braves,3,Washington Nationals,5
Houston Astros,2,Tampa Bay Rays,3
Texas Rangers,2,New York Yankees,5
San Diego Padres,0,Toronto Blue Jays,3
Seattle Mariners,0,Chicago White Sox,1
Baltimore Orioles,2,Milwaukee Brewers,5
Detroit Tigers,5,St. Louis Cardinals,4
Philadelphia Phillies,7,Colorado Rockies,4
Kansas City Royals,2,San Francisco Giants,3
Los Angeles Angels,7,Athletics,5
Arizona Diamondbacks,3,Los Angeles Dodgers,4
Cleveland Guardians,NA,Minnesota Twins,NA
Cincinnati Reds,1,Pittsburgh Pirates,3
Houston Astros,4,Tampa Bay Rays,8
Cleveland Guardians,5,Minnesota Twins,6
Chicago Cubs,2,Miami Marlins,1
Baltimore Orioles,8,Milwaukee Brewers,4
Detroit Tigers,5,St. Louis Cardinals,1
Seattle Mariners,6,Chicago White Sox,5
Kansas City Royals,8,San Francisco Giants,4
Cleveland Guardians,5,Minnesota Twins,1
New York Mets,5,Boston Red Sox,1
Texas Rangers,3,New York Yankees,4
San Diego Padres,0,Toronto Blue Jays,14
Philadelphia Phillies,9,Colorado Rockies,5
Los Angeles Angels,10,Athletics,5
Arizona Diamondbacks,1,Los Angeles Dodgers,3
Atlanta Braves,NA,Washington Nationals,NA
Texas Rangers,0,New York Yankees,1
San Diego Padres,6,Toronto Blue Jays,7
Philadelphia Phillies,2,Colorado Rockies,0
Los Angeles Angels,10,Athletics,5
Cleveland Guardians,7,Detroit Tigers,0
Milwaukee Brewers,8,Pittsburgh Pirates,5
Atlanta Braves,7,Washington Nationals,8
Seattle Mariners,2,Houston Astros,9
Baltimore Orioles,NA,Boston Red Sox,NA
Baltimore Orioles,5,Boston Red Sox,19
Chicago Cubs,13,Cincinnati Reds,6
Milwaukee Brewers,5,Pittsburgh Pirates,6
San Francisco Giants,4,Washington Nationals,0
Toronto Blue Jays,1,Tampa Bay Rays,3
Cleveland Guardians,3,Detroit Tigers,1
Los Angeles Dodgers,7,New York Mets,5
San Diego Padres,2,Atlanta Braves,1
Texas Rangers,1,Chicago White Sox,4
Seattle Mariners,5,Houston Astros,3
Kansas City Royals,1,Minnesota Twins,3
Arizona Diamondbacks,3,St. Louis Cardinals,4
New York Yankees,2,Colorado Rockies,3
Miami Marlins,4,Los Angeles Angels,7
Philadelphia Phillies,4,Athletics,3
Baltimore Orioles,NA,Boston Red Sox,NA
Baltimore Orioles,5,Boston Red Sox,6
Baltimore Orioles,2,Boston Red Sox,1
Kansas City Royals,4,Minnesota Twins,5
Arizona Diamondbacks,5,St. Louis Cardinals,6
San Francisco Giants,0,Washington Nationals,3
Milwaukee Brewers,1,Pittsburgh Pirates,2
Chicago Cubs,4,Cincinnati Reds,6
Seattle Mariners,1,Houston Astros,2
San Diego Padres,1,Atlanta Braves,7
Texas Rangers,5,Chicago White Sox,10
New York Yankees,13,Colorado Rockies,1
Toronto Blue Jays,1,Tampa Bay Rays,3
Cleveland Guardians,7,Detroit Tigers,5
Los Angeles Dodgers,2,New York Mets,5
Philadelphia Phillies,9,Athletics,6
Miami Marlins,6,Los Angeles Angels,2
Cleveland Guardians,0,Detroit Tigers,5
Baltimore Orioles,5,Boston Red Sox,1
San Francisco Giants,3,Washington Nationals,2
Milwaukee Brewers,6,Pittsburgh Pirates,5
Chicago Cubs,11,Cincinnati Reds,8
Toronto Blue Jays,0,Tampa Bay Rays,13
Seattle Mariners,3,Houston Astros,5
Kansas City Royals,2,Minnesota Twins,1
Texas Rangers,5,Chicago White Sox,4
Arizona Diamondbacks,3,St. Louis Cardinals,4
New York Yankees,5,Colorado Rockies,4
Philadelphia Phillies,4,Athletics,5
Miami Marlins,3,Los Angeles Angels,0
San Diego Padres,5,Atlanta Braves,3
Los Angeles Dodgers,1,New York Mets,3
San Francisco Giants,1,Detroit Tigers,3
Boston Red Sox,2,Milwaukee Brewers,3
Colorado Rockies,1,Chicago Cubs,3
St. Louis Cardinals,2,Baltimore Orioles,5
Toronto Blue Jays,2,Texas Rangers,1
Cincinnati Reds,7,Kansas City Royals,4
Chicago White Sox,1,New York Mets,2
Los Angeles Dodgers,7,Cleveland Guardians,2
Minnesota Twins,2,Tampa Bay Rays,7
Pittsburgh Pirates,0,Arizona Diamondbacks,5
Miami Marlins,3,San Diego Padres,4
New York Yankees,5,Los Angeles Angels,1
Los Angeles Dodgers,9,Cleveland Guardians,5
St. Louis Cardinals,7,Baltimore Orioles,4
San Francisco Giants,1,Detroit Tigers,3
Atlanta Braves,0,Philadelphia Phillies,2
Minnesota Twins,4,Tampa Bay Rays,2
Chicago White Sox,4,New York Mets,6
Cincinnati Reds,7,Kansas City Royals,2
Boston Red Sox,1,Milwaukee Brewers,5
Colorado Rockies,3,Chicago Cubs,4
Toronto Blue Jays,0,Texas Rangers,2
Athletics,1,Houston Astros,11
New York Yankees,3,Los Angeles Angels,2
Pittsburgh Pirates,9,Arizona Diamondbacks,6
Washington Nationals,1,Seattle Mariners,9
Miami Marlins,6,San Diego Padres,8
Los Angeles Dodgers,4,Cleveland Guardians,7
San Francisco Giants,3,Detroit Tigers,4
Minnesota Twins,0,Tampa Bay Rays,5
Chicago White Sox,9,New York Mets,4
Boston Red Sox,5,Milwaukee Brewers,6
Athletics,3,Houston Astros,5
Pittsburgh Pirates,10,Arizona Diamondbacks,1
Miami Marlins,10,San Diego Padres,8
St. Louis Cardinals,6,Baltimore Orioles,4
Cincinnati Reds,2,Kansas City Royals,3
Colorado Rockies,1,Chicago Cubs,2
Toronto Blue Jays,2,Texas Rangers,0
New York Yankees,1,Los Angeles Angels,0
Washington Nationals,9,Seattle Mariners,0
Atlanta Braves,NA,Philadelphia Phillies,NA
Atlanta Braves,4,Philadelphia Phillies,5
Atlanta Braves,9,Philadelphia Phillies,3
Athletics,0,Toronto Blue Jays,12
Tampa Bay Rays,13,Houston Astros,3
Washington Nationals,9,Seattle Mariners,3
Cincinnati Reds,6,Chicago Cubs,2
Chicago White Sox,1,Baltimore Orioles,2
Milwaukee Brewers,6,Philadelphia Phillies,2
Athletics,7,Toronto Blue Jays,11
Los Angeles Angels,4,Cleveland Guardians,1
Colorado Rockies,2,New York Mets,4
San Francisco Giants,2,Miami Marlins,0
Boston Red Sox,5,Atlanta Braves,1
St. Louis Cardinals,1,Texas Rangers,11
Detroit Tigers,7,Kansas City Royals,5
Tampa Bay Rays,1,Houston Astros,2
Washington Nationals,9,Arizona Diamondbacks,7
Pittsburgh Pirates,2,San Diego Padres,3
Minnesota Twins,12,Seattle Mariners,6
New York Yankees,5,Los Angeles Dodgers,8
Cincinnati Reds,0,Chicago Cubs,2
Athletics,7,Toronto Blue Jays,8
St. Louis Cardinals,2,Texas Rangers,0
Chicago White Sox,2,Baltimore Orioles,4
Milwaukee Brewers,17,Philadelphia Phillies,7
Los Angeles Angels,5,Cleveland Guardians,7
Detroit Tigers,0,Kansas City Royals,1
Colorado Rockies,2,New York Mets,8
Tampa Bay Rays,16,Houston Astros,3
Boston Red Sox,0,Atlanta Braves,5
San Francisco Giants,0,Miami Marlins,1
Minnesota Twins,4,Seattle Mariners,5
New York Yankees,2,Los Angeles Dodgers,18
Pittsburgh Pirates,5,San Diego Padres,0
Washington Nationals,11,Arizona Diamondbacks,7
St. Louis Cardinals,1,Texas Rangers,8
Boston Red Sox,3,Atlanta Braves,1
Chicago White Sox,2,Baltimore Orioles,3
Milwaukee Brewers,5,Philadelphia Phillies,2
Athletics,4,Toronto Blue Jays,8
Los Angeles Angels,2,Cleveland Guardians,4
Colorado Rockies,3,New York Mets,5
San Francisco Giants,4,Miami Marlins,2
Detroit Tigers,1,Kansas City Royals,0
Tampa Bay Rays,0,Houston Astros,1
Cincinnati Reds,3,Chicago Cubs,7
Washington Nationals,1,Arizona Diamondbacks,3
Minnesota Twins,1,Seattle Mariners,2
Pittsburgh Pirates,4,San Diego Padres,6
New York Yankees,7,Los Angeles Dodgers,3
Colorado Rockies,6,Miami Marlins,4
Los Angeles Angels,7,Boston Red Sox,6
Milwaukee Brewers,3,Cincinnati Reds,2
Detroit Tigers,13,Chicago White Sox,1
San Diego Padres,1,San Francisco Giants,0
Minnesota Twins,10,Athletics,4
New York Mets,4,Los Angeles Dodgers,3
Houston Astros,3,Pittsburgh Pirates,0
Colorado Rockies,3,Miami Marlins,2
Chicago Cubs,8,Washington Nationals,3
Cleveland Guardians,2,New York Yankees,3
Philadelphia Phillies,8,Toronto Blue Jays,3
Los Angeles Angels,4,Boston Red Sox,3
Milwaukee Brewers,2,Cincinnati Reds,4
Arizona Diamondbacks,8,Atlanta Braves,3
Texas Rangers,1,Tampa Bay Rays,5
Detroit Tigers,1,Chicago White Sox,8
Kansas City Royals,10,St. Louis Cardinals,7
Baltimore Orioles,5,Seattle Mariners,1
San Diego Padres,3,San Francisco Giants,2
Minnesota Twins,10,Athletics,3
New York Mets,5,Los Angeles Dodgers,6
Colorado Rockies,3,Miami Marlins,2
Milwaukee Brewers,9,Cincinnati Reds,1
Los Angeles Angels,9,Boston Red Sox,11
Houston Astros,0,Pittsburgh Pirates,3
Chicago Cubs,0,Washington Nationals,2
Cleveland Guardians,4,New York Yankees,0
Philadelphia Phillies,1,Toronto Blue Jays,2
Arizona Diamondbacks,2,Atlanta Braves,1
Texas Rangers,4,Tampa Bay Rays,5
Detroit Tigers,5,Chicago White Sox,4
Baltimore Orioles,3,Seattle Mariners,2
San Diego Padres,5,San Francisco Giants,6
Minnesota Twins,6,Athletics,1
New York Mets,6,Los Angeles Dodgers,1
Kansas City Royals,NA,St. Louis Cardinals,NA
Arizona Diamondbacks,11,Atlanta Braves,10
Kansas City Royals,5,St. Louis Cardinals,6
Kansas City Royals,7,St. Louis Cardinals,5
Detroit Tigers,2,Chicago White Sox,3
Philadelphia Phillies,1,Toronto Blue Jays,9
Minnesota Twins,3,Athletics,14
Baltimore Orioles,4,Seattle Mariners,3
San Diego Padres,2,San Francisco Giants,3
New York Mets,5,Los Angeles Dodgers,6
Houston Astros,8,Pittsburgh Pirates,2
Chicago Cubs,7,Washington Nationals,1
Cleveland Guardians,0,New York Yankees,4
Texas Rangers,3,Tampa Bay Rays,4
Miami Marlins,3,Tampa Bay Rays,4
Philadelphia Phillies,4,Pittsburgh Pirates,5
Texas Rangers,0,Washington Nationals,2
Boston Red Sox,6,New York Yankees,9
Arizona Diamondbacks,3,Cincinnati Reds,4
Chicago Cubs,1,Detroit Tigers,3
Houston Astros,4,Cleveland Guardians,2
Kansas City Royals,2,Chicago White Sox,7
Toronto Blue Jays,6,Minnesota Twins,4
San Diego Padres,2,Milwaukee Brewers,0
Los Angeles Dodgers,0,St. Louis Cardinals,5
New York Mets,4,Colorado Rockies,2
Seattle Mariners,4,Los Angeles Angels,5
Baltimore Orioles,4,Athletics,5
Atlanta Braves,4,San Francisco Giants,5
Chicago Cubs,6,Detroit Tigers,1
Arizona Diamondbacks,3,Cincinnati Reds,4
Toronto Blue Jays,5,Minnesota Twins,4
Los Angeles Dodgers,1,St. Louis Cardinals,2
Texas Rangers,5,Washington Nationals,0
Philadelphia Phillies,1,Pittsburgh Pirates,2
Atlanta Braves,2,San Francisco Giants,3
Arizona Diamondbacks,1,Cincinnati Reds,13
Houston Astros,5,Cleveland Guardians,3
Kansas City Royals,1,Chicago White Sox,4
Miami Marlins,11,Tampa Bay Rays,10
Boston Red Sox,10,New York Yankees,7
San Diego Padres,3,Milwaukee Brewers,4
Seattle Mariners,6,Los Angeles Angels,8
New York Mets,8,Colorado Rockies,1
Baltimore Orioles,7,Athletics,4
Miami Marlins,2,Tampa Bay Rays,3
San Diego Padres,1,Milwaukee Brewers,0
Texas Rangers,4,Washington Nationals,2
Philadelphia Phillies,1,Pittsburgh Pirates,2
Arizona Diamondbacks,2,Cincinnati Reds,4
Chicago Cubs,0,Detroit Tigers,4
Houston Astros,2,Cleveland Guardians,4
Toronto Blue Jays,3,Minnesota Twins,6
Kansas City Royals,7,Chicago White Sox,5
Los Angeles Dodgers,7,St. Louis Cardinals,3
New York Mets,13,Colorado Rockies,5
Baltimore Orioles,1,Athletics,5
Atlanta Braves,3,San Francisco Giants,4
Seattle Mariners,3,Los Angeles Angels,2
Boston Red Sox,11,New York Yankees,7
Cincinnati Reds,7,Cleveland Guardians,4
Miami Marlins,3,Pittsburgh Pirates,10
Chicago Cubs,3,Philadelphia Phillies,4
Tampa Bay Rays,10,Boston Red Sox,8
Atlanta Braves,7,Milwaukee Brewers,1
Toronto Blue Jays,5,St. Louis Cardinals,4
Athletics,4,Los Angeles Angels,7
Los Angeles Dodgers,8,San Diego Padres,7
Seattle Mariners,4,Arizona Diamondbacks,8
Detroit Tigers,5,Baltimore Orioles,3
Cincinnati Reds,1,Cleveland Guardians,0
Miami Marlins,3,Pittsburgh Pirates,2
Chicago Cubs,8,Philadelphia Phillies,4
Washington Nationals,4,New York Mets,5
Tampa Bay Rays,1,Boston Red Sox,3
Texas Rangers,16,Minnesota Twins,4
New York Yankees,10,Kansas City Royals,2
Atlanta Braves,1,Milwaukee Brewers,4
Toronto Blue Jays,10,St. Louis Cardinals,9
Chicago White Sox,4,Houston Astros,2
San Francisco Giants,6,Colorado Rockies,5
Athletics,1,Los Angeles Angels,2
Los Angeles Dodgers,1,San Diego Padres,11
Seattle Mariners,3,Arizona Diamondbacks,10
Miami Marlins,2,Pittsburgh Pirates,5
Chicago Cubs,2,Philadelphia Phillies,7
Cincinnati Reds,2,Cleveland Guardians,11
Atlanta Braves,6,Milwaukee Brewers,2
Toronto Blue Jays,5,St. Louis Cardinals,2
Seattle Mariners,2,Arizona Diamondbacks,5
Athletics,5,Los Angeles Angels,6
Los Angeles Dodgers,5,San Diego Padres,2
Detroit Tigers,1,Baltimore Orioles,10
Washington Nationals,0,New York Mets,5
Tampa Bay Rays,3,Boston Red Sox,4
Texas Rangers,2,Minnesota Twins,6
New York Yankees,6,Kansas City Royals,3
Chicago White Sox,2,Houston Astros,10
San Francisco Giants,10,Colorado Rockies,7
Washington Nationals,3,New York Mets,4
Texas Rangers,16,Minnesota Twins,3
San Francisco Giants,7,Colorado Rockies,8
Detroit Tigers,4,Baltimore Orioles,1
New York Yankees,1,Kansas City Royals,0
St. Louis Cardinals,0,Milwaukee Brewers,6
Pittsburgh Pirates,2,Chicago Cubs,3
Chicago White Sox,3,Houston Astros,4
Pittsburgh Pirates,2,Chicago Cubs,1
Toronto Blue Jays,0,Philadelphia Phillies,8
Miami Marlins,11,Washington Nationals,9
Los Angeles Angels,0,Baltimore Orioles,2
Cincinnati Reds,5,Detroit Tigers,11
Tampa Bay Rays,7,New York Mets,5
New York Yankees,1,Boston Red Sox,2
Colorado Rockies,4,Atlanta Braves,12
Chicago White Sox,1,Texas Rangers,3
Athletics,6,Kansas City Royals,4
Minnesota Twins,3,Houston Astros,10
St. Louis Cardinals,2,Milwaukee Brewers,3
San Diego Padres,1,Arizona Diamondbacks,5
Cleveland Guardians,2,Seattle Mariners,7
San Francisco Giants,6,Los Angeles Dodgers,2
Miami Marlins,4,Washington Nationals,3
Cincinnati Reds,11,Detroit Tigers,1
Pittsburgh Pirates,1,Chicago Cubs,2
Los Angeles Angels,5,Baltimore Orioles,6
Toronto Blue Jays,2,Philadelphia Phillies,3
Chicago White Sox,4,Texas Rangers,5
Athletics,4,Kansas City Royals,0
Tampa Bay Rays,8,New York Mets,4
Minnesota Twins,2,Houston Astros,3
Colorado Rockies,1,Atlanta Braves,4
St. Louis Cardinals,8,Milwaukee Brewers,5
San Diego Padres,7,Arizona Diamondbacks,8
New York Yankees,3,Boston Red Sox,4
Cleveland Guardians,3,Seattle Mariners,4
San Francisco Giants,5,Los Angeles Dodgers,11
Cincinnati Reds,8,Detroit Tigers,4
Los Angeles Angels,2,Baltimore Orioles,11
Toronto Blue Jays,4,Philadelphia Phillies,11
Colorado Rockies,10,Atlanta Braves,1
Miami Marlins,3,Washington Nationals,1
New York Yankees,0,Boston Red Sox,2
Tampa Bay Rays,9,New York Mets,0
Athletics,3,Kansas City Royals,2
Minnesota Twins,1,Houston Astros,2
St. Louis Cardinals,2,Milwaukee Brewers,3
Pittsburgh Pirates,2,Chicago Cubs,3
Chicago White Sox,1,Texas Rangers,2
San Diego Padres,8,Arizona Diamondbacks,2
Cleveland Guardians,0,Seattle Mariners,6
San Francisco Giants,4,Los Angeles Dodgers,5
Philadelphia Phillies,5,Miami Marlins,2
Colorado Rockies,6,Washington Nationals,4
Los Angeles Angels,1,New York Yankees,0
Baltimore Orioles,1,Tampa Bay Rays,7
Boston Red Sox,2,Seattle Mariners,0
Houston Astros,1,Athletics,3
San Diego Padres,3,Los Angeles Dodgers,6
Philadelphia Phillies,3,Miami Marlins,8
Pittsburgh Pirates,3,Detroit Tigers,7
Colorado Rockies,10,Washington Nationals,6
Los Angeles Angels,4,New York Yankees,0
Arizona Diamondbacks,4,Toronto Blue Jays,5
Minnesota Twins,5,Cincinnati Reds,6
New York Mets,4,Atlanta Braves,5
Baltimore Orioles,5,Tampa Bay Rays,1
St. Louis Cardinals,12,Chicago White Sox,2
Kansas City Royals,6,Texas Rangers,1
Milwaukee Brewers,3,Chicago Cubs,5
Boston Red Sox,0,Seattle Mariners,8
Cleveland Guardians,3,San Francisco Giants,2
Houston Astros,13,Athletics,3
San Diego Padres,6,Los Angeles Dodgers,8
Boston Red Sox,3,Seattle Mariners,1
Philadelphia Phillies,4,Miami Marlins,2
Colorado Rockies,3,Washington Nationals,1
Los Angeles Angels,3,New York Yankees,2
Arizona Diamondbacks,1,Toronto Blue Jays,8
Minnesota Twins,2,Cincinnati Reds,4
New York Mets,0,Atlanta Braves,5
Baltimore Orioles,8,Tampa Bay Rays,12
Kansas City Royals,6,Texas Rangers,3
Cleveland Guardians,4,San Francisco Giants,2
Houston Astros,11,Athletics,4
San Diego Padres,3,Los Angeles Dodgers,4
Pittsburgh Pirates,NA,Detroit Tigers,NA
St. Louis Cardinals,NA,Chicago White Sox,NA
Milwaukee Brewers,NA,Chicago Cubs,NA
Minnesota Twins,12,Cincinnati Reds,5
Colorado Rockies,3,Washington Nationals,4
Los Angeles Angels,3,New York Yankees,7
Pittsburgh Pirates,2,Detroit Tigers,9
Pittsburgh Pirates,8,Detroit Tigers,4
St. Louis Cardinals,5,Chicago White Sox,4
St. Louis Cardinals,8,Chicago White Sox,6
Milwaukee Brewers,8,Chicago Cubs,7
Kansas City Royals,4,Texas Rangers,1
Arizona Diamondbacks,9,Toronto Blue Jays,5
Cleveland Guardians,1,San Francisco Giants,2
Philadelphia Phillies,2,Miami Marlins,1
New York Mets,1,Atlanta Braves,7
Baltimore Orioles,4,Tampa Bay Rays,1
Houston Astros,4,Athletics,6
San Diego Padres,5,Los Angeles Dodgers,3
Seattle Mariners,9,Chicago Cubs,4
Texas Rangers,6,Pittsburgh Pirates,2
Detroit Tigers,8,Tampa Bay Rays,14
Baltimore Orioles,5,New York Yankees,3
Chicago White Sox,7,Toronto Blue Jays,1
Atlanta Braves,2,Miami Marlins,6
Cincinnati Reds,1,St. Louis Cardinals,6
New York Mets,2,Philadelphia Phillies,10
Milwaukee Brewers,17,Minnesota Twins,6
Arizona Diamondbacks,14,Colorado Rockies,8
Houston Astros,3,Los Angeles Angels,2
Kansas City Royals,6,San Diego Padres,5
Cleveland Guardians,1,Athletics,5
Washington Nationals,5,Los Angeles Dodgers,6
Boston Red Sox,7,San Francisco Giants,5
Detroit Tigers,3,Tampa Bay Rays,8
Baltimore Orioles,0,New York Yankees,9
Milwaukee Brewers,9,Minnesota Twins,0
Cincinnati Reds,5,St. Louis Cardinals,6
Seattle Mariners,7,Chicago Cubs,10
Chicago White Sox,1,Toronto Blue Jays,7
Boston Red Sox,2,San Francisco Giants,3
Texas Rangers,3,Pittsburgh Pirates,2
Atlanta Braves,7,Miami Marlins,0
Kansas City Royals,1,San Diego Padres,5
New York Mets,11,Philadelphia Phillies,4
Arizona Diamondbacks,5,Colorado Rockies,3
Houston Astros,1,Los Angeles Angels,9
Cleveland Guardians,4,Athletics,2
Washington Nationals,7,Los Angeles Dodgers,3
Baltimore Orioles,2,New York Yankees,4
Detroit Tigers,9,Tampa Bay Rays,3
Texas Rangers,3,Pittsburgh Pirates,8
Chicago White Sox,4,Toronto Blue Jays,2
Atlanta Braves,3,Miami Marlins,5
Milwaukee Brewers,9,Minnesota Twins,8
Cincinnati Reds,4,St. Louis Cardinals,1
Seattle Mariners,14,Chicago Cubs,6
Arizona Diamondbacks,2,Colorado Rockies,4
Cleveland Guardians,3,Athletics,0
Boston Red Sox,5,San Francisco Giants,9
Houston Astros,8,Los Angeles Angels,7
Washington Nationals,7,Los Angeles Dodgers,13
Kansas City Royals,2,San Diego Padres,3
New York Mets,1,Philadelphia Phillies,7
Texas Rangers,0,Baltimore Orioles,6
Atlanta Braves,3,New York Mets,2
New York Yankees,1,Cincinnati Reds,6
Seattle Mariners,11,Minnesota Twins,2
Arizona Diamondbacks,10,Chicago White Sox,0
Pittsburgh Pirates,5,Milwaukee Brewers,4
Chicago Cubs,2,St. Louis Cardinals,8
Boston Red Sox,5,Los Angeles Angels,9
Washington Nationals,10,San Diego Padres,6
Texas Rangers,6,Baltimore Orioles,5
Athletics,4,Detroit Tigers,11
Toronto Blue Jays,10,Cleveland Guardians,6
Atlanta Braves,7,New York Mets,4
New York Yankees,4,Cincinnati Reds,5
Tampa Bay Rays,5,Kansas City Royals,1
Seattle Mariners,6,Minnesota Twins,5
Arizona Diamondbacks,4,Chicago White Sox,1
Pittsburgh Pirates,3,Milwaukee Brewers,9
Chicago Cubs,7,St. Louis Cardinals,8
Philadelphia Phillies,0,Houston Astros,1
Los Angeles Dodgers,9,Colorado Rockies,7
Boston Red Sox,2,Los Angeles Angels,3
Washington Nationals,3,San Diego Padres,4
Miami Marlins,4,San Francisco Giants,2
Arizona Diamondbacks,3,Chicago White Sox,7
Pittsburgh Pirates,2,Milwaukee Brewers,4
Boston Red Sox,2,Los Angeles Angels,5
Washington Nationals,0,San Diego Padres,1
Texas Rangers,7,Baltimore Orioles,0
Athletics,3,Detroit Tigers,0
Toronto Blue Jays,4,Cleveland Guardians,5
Atlanta Braves,3,New York Mets,7
New York Yankees,7,Cincinnati Reds,1
Tampa Bay Rays,3,Kansas City Royals,0
Seattle Mariners,0,Minnesota Twins,2
Chicago Cubs,8,St. Louis Cardinals,0
Philadelphia Phillies,0,Houston Astros,2
Los Angeles Dodgers,8,Colorado Rockies,1
Miami Marlins,8,San Francisco Giants,5
Athletics,0,Detroit Tigers,8
Toronto Blue Jays,6,Cleveland Guardians,0
Seattle Mariners,1,Minnesota Twins,10
Tampa Bay Rays,4,Kansas City Royals,0
