away_team,away_score,home_team,home_score
Texas Rangers,1,Cincinnati Reds,0
New York Mets,2,Miami Marlins,4
Pittsburgh Pirates,0,Tampa Bay Rays,7
Arizona Diamondbacks,7,New York Yankees,5
Washington Nationals,3,Toronto Blue Jays,5
Minnesota Twins,8,Chicago White Sox,3
Kansas City Royals,0,Milwaukee Brewers,5
Los Angeles Angels,9,St. Louis Cardinals,7
San Francisco Giants,3,Houston Astros,1
Cleveland Guardians,0,San Diego Padres,7
Detroit Tigers,4,Seattle Mariners,1
Chicago Cubs,7,Athletics,4
Atlanta Braves,1,Los Angeles Dodgers,3
Texas Rangers,1,Cincinnati Reds,0
Pittsburgh Pirates,4,Tampa Bay Rays,2
Kansas City Royals,2,Milwaukee Brewers,3
Los Angeles Angels,5,St. Louis Cardinals,12
Minnesota Twins,6,Chicago White Sox,1
Washington Nationals,2,Toronto Blue Jays,4
Chicago Cubs,10,Athletics,2
Cleveland Guardians,2,San Diego Padres,5
Detroit Tigers,2,Seattle Mariners,3
San Francisco Giants,6,Houston Astros,3
New York Mets,6,Miami Marlins,5
Boston Red Sox,3,Baltimore Orioles,0
Colorado Rockies,1,Philadelphia Phillies,5
Arizona Diamondbacks,4,New York Yankees,3
Atlanta Braves,5,Los Angeles Dodgers,6
Boston Red Sox,8,Baltimore Orioles,4
Colorado Rockies,1,Philadelphia Phillies,3
Houston Astros,5,Minnesota Twins,2
Arizona Diamondbacks,7,New York Yankees,9
Cincinnati Reds,0,Milwaukee Brewers,1
Chicago White Sox,4,Detroit Tigers,7
St. Louis Cardinals,9,Boston Red Sox,13
San Diego Padres,1,Chicago Cubs,3
Toronto Blue Jays,0,New York Mets,5
Athletics,6,Colorado Rockies,3
New York Yankees,9,Pittsburgh Pirates,4
Seattle Mariners,9,San Francisco Giants,10
Arizona Diamondbacks,6,Washington Nationals,4
Los Angeles Dodgers,2,Philadelphia Phillies,3
Miami Marlins,0,Atlanta Braves,10
Baltimore Orioles,2,Kansas City Royals,8
Tampa Bay Rays,2,Texas Rangers,5
Cincinnati Reds,2,Milwaukee Brewers,3
Cleveland Guardians,8,Los Angeles Angels,6
Chicago White Sox,2,Detroit Tigers,7
Houston Astros,1,Minnesota Twins,6
San Diego Padres,1,Chicago Cubs,7
Arizona Diamondbacks,3,Washington Nationals,4
Los Angeles Dodgers,3,Philadelphia Phillies,1
New York Yankees,10,Pittsburgh Pirates,4
Baltimore Orioles,8,Kansas City Royals,1
Tampa Bay Rays,4,Texas Rangers,6
Toronto Blue Jays,2,New York Mets,3
Cincinnati Reds,11,Milwaukee Brewers,7
Miami Marlins,4,Atlanta Braves,0
Athletics,7,Colorado Rockies,4
Seattle Mariners,1,San Francisco Giants,4
Cleveland Guardians,4,Los Angeles Angels,10
St. Louis Cardinals,NA,Boston Red Sox,NA
Arizona Diamondbacks,4,Washington Nationals,5
St. Louis Cardinals,4,Boston Red Sox,5
St. Louis Cardinals,7,Boston Red Sox,18
Los Angeles Dodgers,7,Philadelphia Phillies,8
New York Yankees,4,Pittsburgh Pirates,5
Toronto Blue Jays,1,New York Mets,2
Chicago White Sox,3,Detroit Tigers,4
Baltimore Orioles,1,Kansas City Royals,4
Houston Astros,9,Minnesota Twins,7
Cincinnati Reds,2,Milwaukee Brewers,8
San Diego Padres,8,Chicago Cubs,7
Tampa Bay Rays,3,Texas Rangers,4
Athletics,5,Colorado Rockies,12
Seattle Mariners,4,San Francisco Giants,5
Cleveland Guardians,2,Los Angeles Angels,6
Miami Marlins,NA,Atlanta Braves,NA
New York Yankees,2,Detroit Tigers,6
St. Louis Cardinals,4,Pittsburgh Pirates,8
Los Angeles Dodgers,4,Washington Nationals,6
Toronto Blue Jays,6,Boston Red Sox,2
Miami Marlins,0,New York Mets,2
Texas Rangers,0,Chicago Cubs,7
Minnesota Twins,2,Kansas City Royals,4
Baltimore Orioles,5,Arizona Diamondbacks,1
Houston Astros,3,Seattle Mariners,4
Cincinnati Reds,2,San Francisco Giants,0
San Diego Padres,5,Athletics,4
New York Yankees,0,Detroit Tigers,5
Chicago White Sox,0,Cleveland Guardians,1
Miami Marlins,5,New York Mets,10
St. Louis Cardinals,5,Pittsburgh Pirates,3
Los Angeles Dodgers,2,Washington Nationals,8
Toronto Blue Jays,6,Boston Red Sox,1
Los Angeles Angels,4,Tampa Bay Rays,3
Philadelphia Phillies,5,Atlanta Braves,7
Texas Rangers,6,Chicago Cubs,10
Minnesota Twins,1,Kansas City Royals,2
Milwaukee Brewers,7,Colorado Rockies,1
Baltimore Orioles,3,Arizona Diamondbacks,4
Houston Astros,2,Seattle Mariners,1
Cincinnati Reds,1,San Francisco Giants,0
San Diego Padres,4,Athletics,10
St. Louis Cardinals,1,Pittsburgh Pirates,2
Miami Marlins,5,New York Mets,0
New York Yankees,4,Detroit Tigers,3
Texas Rangers,6,Chicago Cubs,2
San Diego Padres,2,Athletics,1
Baltimore Orioles,0,Arizona Diamondbacks,9
Cincinnati Reds,6,San Francisco Giants,8
Los Angeles Dodgers,6,Washington Nationals,5
