team,score,opp_score,run_diff,rd_running,game_count
Chicago Cubs,7,4,3,6,8
Athletics,4,7,-3,-12,6
Atlanta Braves,1,3,-2,-17,6
Los Angeles Dodgers,3,1,2,21,7
Texas Rangers,1,0,1,-7,7
Cincinnati Reds,0,1,-1,5,6
Pittsburgh Pirates,4,2,2,-12,7
Tampa Bay Rays,2,4,-2,12,6
Kansas City Royals,2,3,-1,-2,6
Milwaukee Brewers,3,2,1,-26,6
Los Angeles Angels,5,12,-7,-9,6
St. Louis Cardinals,12,5,7,17,6
Minnesota Twins,6,1,5,-12,6
Chicago White Sox,1,6,-5,4,6
Washington Nationals,2,4,-2,-12,6
Toronto Blue Jays,4,2,2,1,7
Chicago Cubs,10,2,8,14,9
Athletics,2,10,-8,-20,7
Cleveland Guardians,2,5,-3,-9,6
San Diego Padres,5,2,3,25,7
Detroit Tigers,2,3,-1,-3,6
Seattle Mariners,3,2,1,-11,7
San Francisco Giants,6,3,3,14,6
Houston Astros,3,6,-3,-9,6
New York Mets,6,5,1,4,6
Miami Marlins,5,6,-1,-3,7
Boston Red Sox,3,0,3,-2,6
Baltimore Orioles,0,3,-3,6,6
Colorado Rockies,1,5,-4,-11,5
Philadelphia Phillies,5,1,4,14,5
Arizona Diamondbacks,4,3,1,9,6
New York Yankees,3,4,-1,19,5
Atlanta Braves,5,6,-1,-18,7
Los Angeles Dodgers,6,5,1,22,8
Boston Red Sox,8,4,4,2,7
Baltimore Orioles,4,8,-4,2,7
Colorado Rockies,1,3,-2,-13,6
Philadelphia Phillies,3,1,2,16,6
Houston Astros,5,2,3,-6,7
Minnesota Twins,2,5,-3,-15,7
Arizona Diamondbacks,7,9,-2,7,7
New York Yankees,9,7,2,21,6
Cincinnati Reds,0,1,-1,4,7
Milwaukee Brewers,1,0,1,-25,7
Chicago White Sox,4,7,-3,1,7
Detroit Tigers,7,4,3,0,7
St. Louis Cardinals,9,13,-4,13,7
Boston Red Sox,13,9,4,6,8
San Diego Padres,1,3,-2,23,8
Chicago Cubs,3,1,2,16,10
Toronto Blue Jays,0,5,-5,-4,8
New York Mets,5,0,5,9,7
Athletics,6,3,3,-17,8
Colorado Rockies,3,6,-3,-16,7
New York Yankees,9,4,5,26,7
Pittsburgh Pirates,4,9,-5,-17,8
Seattle Mariners,9,10,-1,-12,8
San Francisco Giants,10,9,1,15,7
Arizona Diamondbacks,6,4,2,9,8
Washington Nationals,4,6,-2,-14,7
Los Angeles Dodgers,2,3,-1,21,9
Philadelphia Phillies,3,2,1,17,7
Miami Marlins,0,10,-10,-13,8
Atlanta Braves,10,0,10,-8,8
Baltimore Orioles,2,8,-6,-4,8
Kansas City Royals,8,2,6,4,7
Tampa Bay Rays,2,5,-3,9,7
Texas Rangers,5,2,3,-4,8
Cincinnati Reds,2,3,-1,3,8
Milwaukee Brewers,3,2,1,-24,8
Cleveland Guardians,8,6,2,-7,7
Los Angeles Angels,6,8,-2,-11,7
Chicago White Sox,2,7,-5,-4,8
Detroit Tigers,7,2,5,5,8
Houston Astros,1,6,-5,-11,8
Minnesota Twins,6,1,5,-10,8
San Diego Padres,1,7,-6,17,9
Chicago Cubs,7,1,6,22,11
Arizona Diamondbacks,3,4,-1,8,9
Washington Nationals,4,3,1,-13,8
Los Angeles Dodgers,3,1,2,23,10
Philadelphia Phillies,1,3,-2,15,8
New York Yankees,10,4,6,32,8
Pittsburgh Pirates,4,10,-6,-23,9
Baltimore Orioles,8,1,7,3,9
Kansas City Royals,1,8,-7,-3,8
Tampa Bay Rays,4,6,-2,7,8
Texas Rangers,6,4,2,-2,9
Toronto Blue Jays,2,3,-1,-5,9
New York Mets,3,2,1,10,8
Cincinnati Reds,11,7,4,7,9
Milwaukee Brewers,7,11,-4,-28,9
Miami Marlins,4,0,4,-9,9
Atlanta Braves,0,4,-4,-12,9
Athletics,7,4,3,-14,9
Colorado Rockies,4,7,-3,-19,8
Seattle Mariners,1,4,-3,-15,9
San Francisco Giants,4,1,3,18,8
Cleveland Guardians,4,10,-6,-13,8
Los Angeles Angels,10,4,6,-5,8
Arizona Diamondbacks,4,5,-1,7,10
Washington Nationals,5,4,1,-12,9
St. Louis Cardinals,4,5,-1,12,8
Boston Red Sox,5,4,1,7,9
St. Louis Cardinals,7,18,-11,1,9
Boston Red Sox,18,7,11,18,10
Los Angeles Dodgers,7,8,-1,22,11
Philadelphia Phillies,8,7,1,16,9
New York Yankees,4,5,-1,31,9
Pittsburgh Pirates,5,4,1,-22,10
Toronto Blue Jays,1,2,-1,-6,10
New York Mets,2,1,1,11,9
Chicago White Sox,3,4,-1,-5,9
Detroit Tigers,4,3,1,6,9
Baltimore Orioles,1,4,-3,0,10
Kansas City Royals,4,1,3,0,9
Houston Astros,9,7,2,-9,9
Minnesota Twins,7,9,-2,-12,9
Cincinnati Reds,2,8,-6,1,10
Milwaukee Brewers,8,2,6,-22,10
San Diego Padres,8,7,1,18,10
Chicago Cubs,7,8,-1,21,12
Tampa Bay Rays,3,4,-1,6,9
Texas Rangers,4,3,1,-1,10
Athletics,5,12,-7,-21,10
Colorado Rockies,12,5,7,-12,9
Seattle Mariners,4,5,-1,-16,10
San Francisco Giants,5,4,1,19,9
Cleveland Guardians,2,6,-4,-17,9
Los Angeles Angels,6,2,4,-1,9
New York Yankees,2,6,-4,27,10
Detroit Tigers,6,2,4,10,10
St. Louis Cardinals,4,8,-4,-3,10
Pittsburgh Pirates,8,4,4,-18,11
Los Angeles Dodgers,4,6,-2,20,12
Washington Nationals,6,4,2,-10,10
Toronto Blue Jays,6,2,4,-2,11
Boston Red Sox,2,6,-4,14,11
Miami Marlins,0,2,-2,-11,10
New York Mets,2,0,2,13,10
Texas Rangers,0,7,-7,-8,11
Chicago Cubs,7,0,7,28,13
Minnesota Twins,2,4,-2,-14,10
Kansas City Royals,4,2,2,2,10
Baltimore Orioles,5,1,4,4,11
Arizona Diamondbacks,1,5,-4,3,11
Houston Astros,3,4,-1,-10,10
Seattle Mariners,4,3,1,-15,11
Cincinnati Reds,2,0,2,3,11
San Francisco Giants,0,2,-2,17,10
San Diego Padres,5,4,1,19,11
Athletics,4,5,-1,-22,11
New York Yankees,0,5,-5,22,11
Detroit Tigers,5,0,5,15,11
Chicago White Sox,0,1,-1,-6,10
Cleveland Guardians,1,0,1,-16,10
Miami Marlins,5,10,-5,-16,11
New York Mets,10,5,5,18,11
St. Louis Cardinals,5,3,2,-1,11
Pittsburgh Pirates,3,5,-2,-20,12
Los Angeles Dodgers,2,8,-6,14,13
Washington Nationals,8,2,6,-4,11
Toronto Blue Jays,6,1,5,3,12
Boston Red Sox,1,6,-5,9,12
