team,score,opp_score,run_diff,rd_running,game_count
Atlanta Braves,4,10,-6,-15,23
Colorado Rockies,3,4,-1,-52,22
Kansas City Royals,4,3,1,-23,24
Los Angeles Dodgers,10,11,-1,9,24
Chicago Cubs,11,10,1,42,25
Chicago White Sox,2,4,-2,-30,23
Minnesota Twins,4,2,2,-18,23
Toronto Blue Jays,1,5,-4,-14,24
Houston Astros,5,1,4,9,23
Pittsburgh Pirates,9,3,6,-19,24
Los Angeles Angels,3,9,-6,-15,22
Tampa Bay Rays,1,5,-4,4,23
Arizona Diamondbacks,5,1,4,21,23
Milwaukee Brewers,11,3,8,16,24
San Francisco Giants,3,11,-8,25,24
Texas Rangers,8,5,3,-11,23
Athletics,5,8,-3,-21,23
St. Louis Cardinals,1,4,-3,2,25
Atlanta Braves,4,1,3,-12,24
San Diego Padres,0,6,-6,29,25
Detroit Tigers,6,0,6,30,25
Philadelphia Phillies,3,4,-1,-4,25
New York Mets,4,3,1,36,25
Cincinnati Reds,5,2,3,31,25
Miami Marlins,2,5,-3,-21,24
New York Yankees,5,1,4,31,25
Cleveland Guardians,1,5,-4,-5,24
Baltimore Orioles,3,4,-1,-28,23
Washington Nationals,4,3,1,-12,24
Seattle Mariners,8,5,3,3,24
Boston Red Sox,5,8,-3,-3,26
Los Angeles Dodgers,6,7,-1,8,25
Chicago Cubs,7,6,1,43,26
Toronto Blue Jays,1,3,-2,-16,25
Houston Astros,3,1,2,11,24
Chicago White Sox,3,6,-3,-33,24
Minnesota Twins,6,3,3,-15,24
Pittsburgh Pirates,3,0,3,-16,25
Los Angeles Angels,0,3,-3,-18,23
Tampa Bay Rays,7,6,1,5,24
Arizona Diamondbacks,6,7,-1,20,24
Milwaukee Brewers,2,4,-2,14,25
San Francisco Giants,4,2,2,27,25
Texas Rangers,2,5,-3,-14,24
Athletics,5,2,3,-18,24
Chicago White Sox,3,0,3,-30,25
Minnesota Twins,0,3,-3,-18,25
Seattle Mariners,4,3,1,4,25
Boston Red Sox,3,4,-1,-4,27
Colorado Rockies,4,7,-3,-55,23
Kansas City Royals,7,4,3,-20,25
Colorado Rockies,2,6,-4,-59,24
Kansas City Royals,6,2,4,-16,26
Milwaukee Brewers,5,6,-1,13,26
San Francisco Giants,6,5,1,28,26
Baltimore Orioles,2,1,1,-27,24
Washington Nationals,1,2,-1,-13,25
Pittsburgh Pirates,3,4,-1,-17,26
Los Angeles Angels,4,3,1,-17,24
Tampa Bay Rays,7,4,3,8,25
Arizona Diamondbacks,4,7,-3,17,25
Texas Rangers,3,4,-1,-15,25
Athletics,4,3,1,-17,25
Philadelphia Phillies,0,4,-4,-8,26
Chicago Cubs,4,0,4,47,27
New York Mets,4,5,-1,35,26
Washington Nationals,5,4,1,-12,26
Toronto Blue Jays,4,2,2,-14,26
New York Yankees,2,4,-2,29,26
Houston Astros,0,2,-2,9,25
Kansas City Royals,2,0,2,-14,27
Los Angeles Angels,4,11,-7,-24,25
Minnesota Twins,11,4,7,-11,26
Milwaukee Brewers,2,3,-1,12,27
St. Louis Cardinals,3,2,1,3,26
Cincinnati Reds,8,7,1,32,26
Colorado Rockies,7,8,-1,-60,25
Tampa Bay Rays,1,0,1,9,26
San Diego Padres,0,1,-1,28,26
Atlanta Braves,8,2,6,-6,25
Arizona Diamondbacks,2,8,-6,11,26
Miami Marlins,8,4,4,-17,25
Seattle Mariners,4,8,-4,0,26
Chicago White Sox,5,6,-1,-31,26
Athletics,6,5,1,-16,26
Pittsburgh Pirates,3,0,3,-14,27
Los Angeles Dodgers,0,3,-3,5,26
Texas Rangers,2,0,2,-13,26
San Francisco Giants,0,2,-2,26,27
Boston Red Sox,4,5,-1,-5,28
Cleveland Guardians,5,4,1,-4,25
Boston Red Sox,7,3,4,-1,29
Cleveland Guardians,3,7,-4,-8,26
Baltimore Orioles,3,4,-1,-28,25
Detroit Tigers,4,3,1,31,26
Baltimore Orioles,2,6,-4,-32,26
Detroit Tigers,6,2,4,35,27
Los Angeles Angels,1,5,-4,-28,26
Minnesota Twins,5,1,4,-7,27
Milwaukee Brewers,5,6,-1,11,28
St. Louis Cardinals,6,5,1,4,27
Cincinnati Reds,6,4,2,34,27
Colorado Rockies,4,6,-2,-62,26
New York Mets,2,0,2,37,27
Washington Nationals,0,2,-2,-14,27
Texas Rangers,2,3,-1,-14,27
San Francisco Giants,3,2,1,27,28
Philadelphia Phillies,10,4,6,-2,27
Chicago Cubs,4,10,-6,41,28
Chicago White Sox,10,3,7,-24,27
Athletics,3,10,-7,-23,27
Houston Astros,0,2,-2,7,26
Kansas City Royals,2,0,2,-12,28
Atlanta Braves,8,7,1,-5,26
Arizona Diamondbacks,7,8,-1,10,27
Tampa Bay Rays,4,1,3,12,27
San Diego Padres,1,4,-3,25,27
Pittsburgh Pirates,4,8,-4,-18,28
Los Angeles Dodgers,8,4,4,9,27
Miami Marlins,0,14,-14,-31,26
Seattle Mariners,14,0,14,14,27
New York Mets,7,8,-1,36,28
Washington Nationals,8,7,1,-13,28
Toronto Blue Jays,2,11,-9,-23,27
New York Yankees,11,2,9,38,27
Toronto Blue Jays,1,5,-4,-27,28
New York Yankees,5,1,4,42,28
Boston Red Sox,13,3,10,9,30
Cleveland Guardians,3,13,-10,-18,27
Baltimore Orioles,0,7,-7,-39,27
Detroit Tigers,7,0,7,42,28
Los Angeles Angels,0,5,-5,-33,27
Minnesota Twins,5,0,5,-2,28
Houston Astros,7,3,4,11,27
Kansas City Royals,3,7,-4,-16,29
Milwaukee Brewers,7,1,6,17,29
St. Louis Cardinals,1,7,-6,-2,28
Cincinnati Reds,8,1,7,41,28
Colorado Rockies,1,8,-7,-69,27
Texas Rangers,2,3,-1,-15,28
San Francisco Giants,3,2,1,28,29
Chicago White Sox,2,3,-1,-25,28
Athletics,3,2,1,-22,28
Pittsburgh Pirates,2,9,-7,-25,29
Los Angeles Dodgers,9,2,7,16,28
Tampa Bay Rays,4,2,2,14,28
San Diego Padres,2,4,-2,23,28
Atlanta Braves,4,6,-2,-7,27
Arizona Diamondbacks,6,4,2,12,28
Miami Marlins,6,7,-1,-32,27
Seattle Mariners,7,6,1,15,28
Philadelphia Phillies,3,1,2,0,28
Chicago Cubs,1,3,-2,39,29
New York Mets,19,5,14,50,29
Washington Nationals,5,19,-14,-27,29
Minnesota Twins,11,1,10,8,29
Cleveland Guardians,1,11,-10,-28,28
New York Yankees,3,4,-1,41,29
Baltimore Orioles,4,3,1,-38,28
St. Louis Cardinals,1,3,-2,-4,29
Cincinnati Reds,3,1,2,43,29
Athletics,2,1,1,-21,29
Texas Rangers,1,2,-1,-16,29
Detroit Tigers,5,8,-3,39,29
Houston Astros,8,5,3,14,28
Atlanta Braves,6,3,3,-4,28
Colorado Rockies,3,6,-3,-72,28
Miami Marlins,6,7,-1,-33,28
Los Angeles Dodgers,7,6,1,17,29
Minnesota Twins,1,2,-1,7,30
Cleveland Guardians,2,1,1,-27,29
New York Yankees,15,3,12,53,30
Baltimore Orioles,3,15,-12,-50,29
Chicago Cubs,9,0,9,48,30
Pittsburgh Pirates,0,9,-9,-34,30
Washington Nationals,6,7,-1,-28,30
Philadelphia Phillies,7,6,1,1,29
Kansas City Royals,3,1,2,-14,30
Tampa Bay Rays,1,3,-2,12,29
Boston Red Sox,10,2,8,17,31
Toronto Blue Jays,2,10,-8,-35,29
Arizona Diamondbacks,3,8,-5,7,29
New York Mets,8,3,5,55,30
Milwaukee Brewers,7,2,5,22,30
Chicago White Sox,2,7,-5,-30,29
Athletics,2,15,-13,-34,30
Texas Rangers,15,2,13,-3,30
Detroit Tigers,4,6,-2,37,30
Houston Astros,6,4,2,16,29
Atlanta Braves,8,2,6,2,29
Colorado Rockies,2,8,-6,-78,29
Los Angeles Angels,3,5,-2,-35,28
Seattle Mariners,5,3,2,17,29
San Francisco Giants,4,7,-3,25,30
San Diego Padres,7,4,3,26,29
Miami Marlins,2,15,-13,-46,29
Los Angeles Dodgers,15,2,13,30,30
St. Louis Cardinals,6,0,6,2,30
Cincinnati Reds,0,6,-6,37,30
St. Louis Cardinals,9,1,8,10,31
Cincinnati Reds,1,9,-8,29,31
Detroit Tigers,7,4,3,40,31
Houston Astros,4,7,-3,13,30
Atlanta Braves,1,2,-1,1,30
Colorado Rockies,2,1,1,-77,30
Miami Marlins,7,12,-5,-51,30
Los Angeles Dodgers,12,7,5,35,31
Los Angeles Angels,3,9,-6,-41,29
Seattle Mariners,9,3,6,23,30
San Francisco Giants,3,5,-2,23,31
San Diego Padres,5,3,2,28,30
Minnesota Twins,2,4,-2,5,31
Cleveland Guardians,4,2,2,-25,30
New York Yankees,4,5,-1,52,31
Baltimore Orioles,5,4,1,-49,30
Chicago Cubs,3,4,-1,47,31
Pittsburgh Pirates,4,3,1,-33,31
Washington Nationals,2,7,-5,-33,31
Philadelphia Phillies,7,2,5,6,30
Kansas City Royals,3,0,3,-11,31
Tampa Bay Rays,0,3,-3,9,30
Boston Red Sox,6,7,-1,16,32
Toronto Blue Jays,7,6,1,-34,30
Arizona Diamondbacks,4,3,1,8,30
New York Mets,3,4,-1,54,31
Milwaukee Brewers,6,4,2,24,31
Chicago White Sox,4,6,-2,-32,30
Athletics,7,1,6,-28,31
Texas Rangers,1,7,-6,-9,31
Chicago Cubs,8,3,5,52,32
Pittsburgh Pirates,3,8,-5,-38,32
St. Louis Cardinals,1,9,-8,2,32
Cincinnati Reds,9,1,8,37,32
Arizona Diamondbacks,4,2,2,10,31
New York Mets,2,4,-2,52,32
Kansas City Royals,8,2,6,-5,32
Tampa Bay Rays,2,8,-6,3,31
Minnesota Twins,3,4,-1,4,32
Cleveland Guardians,4,3,1,-24,31
Milwaukee Brewers,0,8,-8,16,32
Chicago White Sox,8,0,8,-24,31
Athletics,3,0,3,-25,32
Texas Rangers,0,3,-3,-12,32
Washington Nationals,4,2,2,-31,32
Philadelphia Phillies,2,4,-2,4,31
Boston Red Sox,2,4,-2,14,33
Toronto Blue Jays,4,2,2,-32,31
Detroit Tigers,10,4,6,46,32
Los Angeles Angels,4,10,-6,-47,30
Colorado Rockies,4,3,1,-76,31
San Francisco Giants,3,4,-1,22,32
Washington Nationals,1,6,-5,-36,33
Cincinnati Reds,6,1,5,42,33
San Diego Padres,9,4,5,33,31
Pittsburgh Pirates,4,9,-5,-43,33
Arizona Diamondbacks,2,3,-1,9,32
Philadelphia Phillies,3,2,1,5,32
Kansas City Royals,0,3,-3,-8,33
Baltimore Orioles,3,0,3,-46,31
Tampa Bay Rays,0,3,-3,0,32
New York Yankees,3,0,3,55,32
Cleveland Guardians,3,5,-2,-26,32
Toronto Blue Jays,5,3,2,-30,32
Minnesota Twins,1,6,-5,-1,33
Boston Red Sox,6,1,5,19,34
Athletics,6,1,5,-20,33
Miami Marlins,1,6,-5,-56,31
Los Angeles Dodgers,2,1,1,36,32
Atlanta Braves,1,2,-1,0,31
Houston Astros,3,7,-4,9,31
Chicago White Sox,7,3,4,-20,32
Seattle Mariners,13,1,12,35,31
Texas Rangers,1,13,-12,-24,33
Chicago Cubs,10,0,10,62,33
Milwaukee Brewers,0,10,-10,6,33
New York Mets,9,3,6,58,33
St. Louis Cardinals,3,9,-6,-4,33
Detroit Tigers,9,1,8,54,33
Los Angeles Angels,1,9,-8,-55,31
Colorado Rockies,0,4,-4,-80,32
San Francisco Giants,4,0,4,26,33
Tampa Bay Rays,3,2,1,1,33
New York Yankees,2,3,-1,54,33
Houston Astros,8,3,5,14,32
Chicago White Sox,3,8,-5,-25,33
Cleveland Guardians,5,3,2,-24,33
Toronto Blue Jays,3,5,-2,-32,33
San Diego Padres,2,1,1,34,32
Pittsburgh Pirates,1,2,-1,-44,34
Colorado Rockies,3,6,-3,-83,33
San Francisco Giants,6,3,3,29,34
Minnesota Twins,4,3,1,0,34
Boston Red Sox,3,4,-1,18,35
Athletics,6,9,-3,-23,34
Miami Marlins,9,6,3,-53,32
Arizona Diamondbacks,2,7,-5,4,33
Philadelphia Phillies,7,2,5,10,33
Washington Nationals,11,6,5,-31,34
Cincinnati Reds,6,11,-5,37,34
Seattle Mariners,2,1,1,36,32
Texas Rangers,1,2,-1,-25,34
Chicago Cubs,6,2,4,66,34
Milwaukee Brewers,2,6,-4,2,34
Kansas City Royals,4,0,4,-4,34
Baltimore Orioles,0,4,-4,-50,32
Los Angeles Dodgers,10,3,7,43,33
Atlanta Braves,3,10,-7,-7,32
Detroit Tigers,2,5,-3,51,34
Los Angeles Angels,5,2,3,-52,32
New York Mets,5,6,-1,57,34
St. Louis Cardinals,6,5,1,-3,34
New York Mets,4,5,-1,56,35
St. Louis Cardinals,5,4,1,-2,35
Kansas City Royals,11,6,5,1,35
Baltimore Orioles,6,11,-5,-55,33
San Diego Padres,4,0,4,38,33
Pittsburgh Pirates,0,4,-4,-48,35
Minnesota Twins,5,4,1,1,35
Boston Red Sox,4,5,-1,17,36
Tampa Bay Rays,7,5,2,3,34
New York Yankees,5,7,-2,52,34
Cleveland Guardians,5,4,1,-23,34
Toronto Blue Jays,4,5,-1,-33,34
Athletics,3,2,1,-22,35
Miami Marlins,2,3,-1,-54,33
Arizona Diamondbacks,11,9,2,6,34
Philadelphia Phillies,9,11,-2,8,34
Houston Astros,4,5,-1,13,33
Chicago White Sox,5,4,1,-24,34
Chicago Cubs,0,4,-4,62,35
Milwaukee Brewers,4,0,4,6,35
Seattle Mariners,1,8,-7,29,33
Texas Rangers,8,1,7,-18,35
Colorado Rockies,3,9,-6,-89,34
San Francisco Giants,9,3,6,35,35
Detroit Tigers,13,1,12,63,35
Los Angeles Angels,1,13,-12,-64,33
Washington Nationals,4,1,3,-28,35
Cincinnati Reds,1,4,-3,34,35
Los Angeles Dodgers,3,4,-1,42,34
Atlanta Braves,4,3,1,-6,33
Los Angeles Dodgers,7,4,3,45,35
Miami Marlins,4,7,-3,-57,34
San Diego Padres,4,3,1,39,34
New York Yankees,3,4,-1,51,35
Cincinnati Reds,0,4,-4,30,36
Atlanta Braves,4,0,4,-2,34
San Francisco Giants,2,9,-7,28,36
Chicago Cubs,9,2,7,69,36
Chicago White Sox,0,3,-3,-27,35
Kansas City Royals,3,0,3,4,36
Houston Astros,1,5,-4,9,34
Milwaukee Brewers,5,1,4,10,36
Pittsburgh Pirates,3,6,-3,-51,36
St. Louis Cardinals,6,3,3,1,36
New York Mets,5,4,1,57,36
Arizona Diamondbacks,4,5,-1,5,35
Seattle Mariners,6,7,-1,28,34
Athletics,7,6,1,-21,36
Cleveland Guardians,9,10,-1,-24,35
Washington Nationals,10,9,1,-27,36
Cleveland Guardians,9,1,8,-16,36
Washington Nationals,1,9,-8,-35,37
Los Angeles Dodgers,4,5,-1,44,36
Miami Marlins,5,4,1,-56,35
Texas Rangers,6,1,5,-13,36
Boston Red Sox,1,6,-5,12,37
Philadelphia Phillies,8,4,4,12,35
Tampa Bay Rays,4,8,-4,-1,35
San Diego Padres,3,12,-9,30,35
New York Yankees,12,3,9,60,36
Cincinnati Reds,1,2,-1,29,37
Atlanta Braves,2,1,1,-1,35
San Francisco Giants,14,5,9,37,37
Chicago Cubs,5,14,-9,60,37
Baltimore Orioles,1,9,-8,-63,34
Minnesota Twins,9,1,8,9,36
Chicago White Sox,3,4,-1,-28,36
Kansas City Royals,4,3,1,5,37
Houston Astros,3,4,-1,8,35
Milwaukee Brewers,4,3,1,11,37
Pittsburgh Pirates,1,2,-1,-52,37
St. Louis Cardinals,2,1,1,2,37
Toronto Blue Jays,3,8,-5,-38,35
Los Angeles Angels,8,3,5,-59,34
New York Mets,1,5,-4,53,37
Arizona Diamondbacks,5,1,4,9,36
Seattle Mariners,5,3,2,30,35
Athletics,3,5,-2,-23,37
Cleveland Guardians,8,6,2,-14,37
Washington Nationals,6,8,-2,-37,38
Houston Astros,9,1,8,16,36
Milwaukee Brewers,1,9,-8,3,38
Pittsburgh Pirates,0,5,-5,-57,38
St. Louis Cardinals,5,0,5,7,38
San Francisco Giants,3,1,2,39,38
Chicago Cubs,1,3,-2,58,38
Seattle Mariners,6,5,1,31,36
Athletics,5,6,-1,-24,38
New York Mets,7,1,6,59,38
Arizona Diamondbacks,1,7,-6,3,37
Los Angeles Dodgers,10,1,9,53,37
Miami Marlins,1,10,-9,-65,36
Texas Rangers,4,6,-2,-15,37
Boston Red Sox,6,4,2,14,38
Philadelphia Phillies,7,0,7,19,36
Tampa Bay Rays,0,7,-7,-8,36
San Diego Padres,3,4,-1,29,36
New York Yankees,4,3,1,61,37
Cincinnati Reds,4,3,1,30,38
Atlanta Braves,3,4,-1,-2,36
Baltimore Orioles,2,5,-3,-66,35
Minnesota Twins,5,2,3,12,37
Chicago White Sox,1,2,-1,-29,37
Kansas City Royals,2,1,1,6,38
Detroit Tigers,8,6,2,65,36
Colorado Rockies,6,8,-2,-91,35
Toronto Blue Jays,4,5,-1,-39,36
Los Angeles Angels,5,4,1,-58,35
Baltimore Orioles,2,5,-3,-69,36
Minnesota Twins,5,2,3,15,38
Texas Rangers,0,5,-5,-20,38
Boston Red Sox,5,0,5,19,39
Chicago White Sox,0,10,-10,-39,38
Kansas City Royals,10,0,10,16,39
Detroit Tigers,10,2,8,73,37
Colorado Rockies,2,10,-8,-99,36
Detroit Tigers,11,1,10,83,38
Colorado Rockies,1,11,-10,-109,37
Philadelphia Phillies,7,6,1,20,37
Tampa Bay Rays,6,7,-1,-9,37
Cincinnati Reds,4,5,-1,29,39
Atlanta Braves,5,4,1,-1,37
Toronto Blue Jays,8,5,3,-36,37
Los Angeles Angels,5,8,-3,-61,36
Los Angeles Dodgers,3,5,-2,51,38
Arizona Diamondbacks,5,3,2,5,38
Texas Rangers,1,2,-1,-21,39
Detroit Tigers,2,1,1,84,39
Atlanta Braves,2,3,-1,-2,38
Pittsburgh Pirates,3,2,1,-56,39
St. Louis Cardinals,10,0,10,17,39
Washington Nationals,0,10,-10,-47,39
Milwaukee Brewers,3,4,-1,2,39
Tampa Bay Rays,4,3,1,-8,38
Chicago Cubs,2,7,-5,53,39
New York Mets,7,2,5,64,39
Philadelphia Phillies,0,6,-6,14,38
Cleveland Guardians,6,0,6,-8,38
Boston Red Sox,1,2,-1,18,40
Kansas City Royals,2,1,1,17,40
Miami Marlins,2,6,-4,-69,37
Chicago White Sox,6,2,4,-35,39
Cincinnati Reds,0,3,-3,26,40
Houston Astros,3,0,3,19,37
San Francisco Giants,1,3,-2,37,39
Minnesota Twins,3,1,2,17,39
San Diego Padres,13,9,4,33,37
Colorado Rockies,9,13,-4,-113,38
Baltimore Orioles,4,1,3,-66,37
Los Angeles Angels,1,4,-3,-64,37
Los Angeles Dodgers,14,11,3,54,39
Arizona Diamondbacks,11,14,-3,2,39
Toronto Blue Jays,6,3,3,-33,38
Seattle Mariners,3,6,-3,28,37
New York Yankees,10,2,8,69,38
Athletics,2,10,-8,-32,39
St. Louis Cardinals,4,2,2,19,40
Washington Nationals,2,4,-2,-49,40
Atlanta Braves,3,2,1,-1,39
Pittsburgh Pirates,2,3,-1,-57,40
New York Yankees,7,11,-4,65,39
Athletics,11,7,4,-28,40
Milwaukee Brewers,2,3,-1,1,40
Tampa Bay Rays,3,2,1,-7,39
Texas Rangers,10,3,7,-14,40
Detroit Tigers,3,10,-7,77,40
Philadelphia Phillies,7,1,6,20,39
Cleveland Guardians,1,7,-6,-14,39
Cincinnati Reds,13,9,4,30,41
Houston Astros,9,13,-4,15,38
Boston Red Sox,10,1,9,27,41
Kansas City Royals,1,10,-9,8,41
Miami Marlins,3,1,2,-67,38
Chicago White Sox,1,3,-2,-37,40
Chicago Cubs,6,5,1,54,40
New York Mets,5,6,-1,63,40
San Francisco Giants,1,2,-1,36,40
Minnesota Twins,2,1,1,18,40
Los Angeles Dodgers,0,3,-3,51,40
Arizona Diamondbacks,3,0,3,5,40
San Diego Padres,21,0,21,54,38
Colorado Rockies,0,21,-21,-134,39
Baltimore Orioles,2,5,-3,-69,38
Los Angeles Angels,5,2,3,-61,38
Toronto Blue Jays,6,3,3,-30,39
Seattle Mariners,3,6,-3,25,38
Chicago Cubs,2,6,-4,50,41
New York Mets,6,2,4,67,41
St. Louis Cardinals,6,1,5,24,41
Washington Nationals,1,6,-5,-54,41
Atlanta Braves,3,4,-1,-2,40
Pittsburgh Pirates,4,3,1,-56,41
Texas Rangers,6,1,5,-9,41
Detroit Tigers,1,6,-5,72,41
Milwaukee Brewers,4,2,2,3,41
Tampa Bay Rays,2,4,-2,-9,40
Cincinnati Reds,0,6,-6,24,42
Houston Astros,6,0,6,21,39
Boston Red Sox,3,1,2,29,42
Kansas City Royals,1,3,-2,6,42
San Francisco Giants,6,7,-1,35,41
Minnesota Twins,7,6,1,19,41
Miami Marlins,2,4,-2,-69,39
Chicago White Sox,4,2,2,-35,41
San Diego Padres,3,9,-6,48,39
Colorado Rockies,9,3,6,-128,40
New York Yankees,12,2,10,75,40
Athletics,2,12,-10,-38,41
Baltimore Orioles,7,3,4,-65,39
Los Angeles Angels,3,7,-4,-65,39
Los Angeles Dodgers,8,1,7,58,41
Arizona Diamondbacks,1,8,-7,-2,41
Toronto Blue Jays,9,1,8,-22,40
Seattle Mariners,1,9,-8,17,39
Philadelphia Phillies,3,0,3,23,40
Cleveland Guardians,0,3,-3,-17,40
Milwaukee Brewers,0,5,-5,-2,42
Cleveland Guardians,5,0,5,-12,41
Boston Red Sox,2,14,-12,17,43
Detroit Tigers,14,2,12,84,42
St. Louis Cardinals,3,2,1,25,42
Philadelphia Phillies,2,3,-1,22,41
Pittsburgh Pirates,3,4,-1,-57,42
New York Mets,4,3,1,68,42
Washington Nationals,3,4,-1,-55,42
Atlanta Braves,4,3,1,-1,41
Miami Marlins,2,5,-3,-72,40
Chicago Cubs,5,2,3,53,42
Colorado Rockies,1,2,-1,-129,41
Texas Rangers,2,1,1,-8,42
Kansas City Royals,7,5,2,8,43
Houston Astros,5,7,-2,19,40
Los Angeles Angels,9,5,4,-61,40
San Diego Padres,5,9,-4,44,40
New York Yankees,11,5,6,81,41
Seattle Mariners,5,11,-6,11,40
Arizona Diamondbacks,2,1,1,-1,42
San Francisco Giants,1,2,-1,34,42
Milwaukee Brewers,0,2,-2,-4,43
Cleveland Guardians,2,0,2,-10,42
Boston Red Sox,9,10,-1,16,44
Detroit Tigers,10,9,1,85,43
Chicago White Sox,5,1,4,-31,42
Cincinnati Reds,1,5,-4,20,43
Tampa Bay Rays,11,9,2,-7,41
Toronto Blue Jays,9,11,-2,-24,41
Pittsburgh Pirates,1,2,-1,-58,43
New York Mets,2,1,1,69,43
Washington Nationals,2,5,-3,-58,43
Atlanta Braves,5,2,3,2,42
Miami Marlins,4,5,-1,-73,41
Chicago Cubs,5,4,1,54,43
Colorado Rockies,1,4,-3,-132,42
Texas Rangers,4,1,3,-5,43
Kansas City Royals,1,2,-1,7,44
Houston Astros,2,1,1,20,41
Los Angeles Angels,4,6,-2,-63,41
San Diego Padres,6,4,2,46,41
New York Yankees,1,2,-1,80,42
Seattle Mariners,2,1,1,12,41
Arizona Diamondbacks,6,10,-4,-5,43
San Francisco Giants,10,6,4,38,43
Athletics,11,1,10,-28,42
Los Angeles Dodgers,1,11,-10,48,42
Minnesota Twins,6,3,3,22,42
Baltimore Orioles,3,6,-3,-68,40
Minnesota Twins,8,6,2,24,43
Baltimore Orioles,6,8,-2,-70,41
St. Louis Cardinals,1,2,-1,24,43
Philadelphia Phillies,2,1,1,23,42
St. Louis Cardinals,14,7,7,31,44
Philadelphia Phillies,7,14,-7,16,43
Milwaukee Brewers,9,5,4,0,44
Cleveland Guardians,5,9,-4,-14,43
Arizona Diamondbacks,8,7,1,-4,44
San Francisco Giants,7,8,-1,37,44
New York Yankees,3,2,1,81,43
Seattle Mariners,2,3,-1,11,42
Boston Red Sox,5,6,-1,15,45
Detroit Tigers,6,5,1,86,44
Tampa Bay Rays,1,3,-2,-9,42
Toronto Blue Jays,3,1,2,-22,42
Pittsburgh Pirates,4,0,4,-54,44
New York Mets,0,4,-4,65,44
Chicago White Sox,4,2,2,-29,43
Cincinnati Reds,2,4,-2,18,44
Washington Nationals,5,4,1,-57,44
Atlanta Braves,4,5,-1,1,43
Miami Marlins,3,1,2,-71,42
Chicago Cubs,1,3,-2,52,44
Colorado Rockies,3,8,-5,-137,43
Texas Rangers,8,3,5,0,44
Kansas City Royals,3,4,-1,6,45
Houston Astros,4,3,1,21,42
Los Angeles Angels,1,5,-4,-67,42
San Diego Padres,5,1,4,50,42
Athletics,3,9,-6,-34,43
Los Angeles Dodgers,9,3,6,54,43
Washington Nationals,2,5,-3,-60,45
Atlanta Braves,5,2,3,4,44
Minnesota Twins,4,0,4,28,44
Baltimore Orioles,0,4,-4,-74,42
Chicago White Sox,1,7,-6,-35,44
Cincinnati Reds,7,1,6,24,45
Tampa Bay Rays,8,3,5,-4,43
Toronto Blue Jays,3,8,-5,-27,43
Houston Astros,0,1,-1,20,43
Texas Rangers,1,0,1,1,45
Athletics,2,19,-17,-51,44
Los Angeles Dodgers,19,2,17,71,44
Chicago White Sox,3,13,-10,-45,45
Chicago Cubs,13,3,10,62,45
Cleveland Guardians,4,5,-1,-15,44
Cincinnati Reds,5,4,1,25,46
Pittsburgh Pirates,4,8,-4,-58,45
Philadelphia Phillies,8,4,4,20,44
Washington Nationals,4,3,1,-59,46
Baltimore Orioles,3,4,-1,-75,43
New York Mets,2,6,-4,61,45
New York Yankees,6,2,4,85,44
Detroit Tigers,5,4,1,87,45
Toronto Blue Jays,4,5,-1,-28,44
Atlanta Braves,4,2,2,6,45
Boston Red Sox,2,4,-2,13,46
Tampa Bay Rays,4,9,-5,-9,44
Miami Marlins,9,4,5,-66,43
St. Louis Cardinals,10,3,7,38,45
Kansas City Royals,3,10,-7,-1,46
Houston Astros,6,3,3,23,44
Texas Rangers,3,6,-3,-2,46
Minnesota Twins,3,0,3,31,45
Milwaukee Brewers,0,3,-3,-3,45
Colorado Rockies,0,8,-8,-145,44
Arizona Diamondbacks,8,0,8,4,45
Seattle Mariners,5,1,4,15,43
San Diego Padres,1,5,-4,46,43
Los Angeles Angels,6,2,4,-63,43
Los Angeles Dodgers,2,6,-4,67,45
Athletics,1,9,-8,-59,45
San Francisco Giants,9,1,8,45,45
New York Mets,3,2,1,62,46
New York Yankees,2,3,-1,84,45
Chicago White Sox,3,7,-4,-49,46
Chicago Cubs,7,3,4,66,46
Detroit Tigers,1,2,-1,86,46
Toronto Blue Jays,2,1,1,-27,45
Washington Nationals,10,6,4,-55,47
Baltimore Orioles,6,10,-4,-79,44
Tampa Bay Rays,4,0,4,-5,45
Miami Marlins,0,4,-4,-70,44
Pittsburgh Pirates,2,5,-3,-61,46
Philadelphia Phillies,5,2,3,23,45
Cleveland Guardians,1,4,-3,-18,45
Cincinnati Reds,4,1,3,28,47
Houston Astros,1,5,-4,19,45
Texas Rangers,5,1,4,2,47
St. Louis Cardinals,1,0,1,39,46
Kansas City Royals,0,1,-1,-2,47
Atlanta Braves,6,7,-1,5,46
Boston Red Sox,7,6,1,14,47
Minnesota Twins,7,0,7,38,46
Milwaukee Brewers,0,7,-7,-10,46
Colorado Rockies,14,12,2,-143,45
Arizona Diamondbacks,12,14,-2,2,46
Seattle Mariners,4,1,3,18,44
San Diego Padres,1,4,-3,43,44
Athletics,0,1,-1,-60,46
San Francisco Giants,1,0,1,46,46
Los Angeles Angels,11,9,2,-61,44
Los Angeles Dodgers,9,11,-2,65,46
Houston Astros,4,3,1,20,46
Texas Rangers,3,4,-1,1,48
Washington Nationals,10,4,6,-49,48
Baltimore Orioles,4,10,-6,-85,45
Pittsburgh Pirates,0,1,-1,-62,47
Philadelphia Phillies,1,0,1,24,46
Atlanta Braves,10,4,6,11,47
Boston Red Sox,4,10,-6,8,48
Detroit Tigers,3,2,1,87,47
