openings_total,openings_total_away,openings_total_home,openings_total_lost,games_total,games_away_total,games_home_total,year,attendance_average_away,attendance_average_home,attendance_average_ytd,attendance_high,attendance_high_date,attendance_low,attendance_low_date,attendance_opening_average,attendance_total,attendance_total_away,attendance_total_home,attendance_high_game_game_pk,attendance_high_game_link,attendance_high_game_day_night,attendance_high_game_content_link,attendance_low_game_game_pk,attendance_low_game_link,attendance_low_game_day_night,attendance_low_game_content_link,game_type_id,game_type_description,team_id,team_name,team_link
161,80,81,0,163,82,81,2024,25368,31822,28615,44822,2024-09-04T00:00:00,16600,2024-04-10T00:00:00,31822,4607017,2029420,2577597,746178,/api/v1.1/game/746178/feed/live,day,/api/v1/game/746178/content,746247,/api/v1.1/game/746247/feed/live,day,/api/v1/game/746247/content,R,Regular Season,108,Los Angeles Angels,/api/v1/teams/108
162,81,81,0,163,82,81,2024,30656,28912,29784,50041,2024-08-31T00:00:00,15525,2024-08-12T00:00:00,28912,4825035,2483159,2341876,747158,/api/v1.1/game/747158/feed/live,day,/api/v1/game/747158/content,747165,/api/v1.1/game/747165/feed/live,day,/api/v1/game/747165/content,R,Regular Season,109,Arizona Diamondbacks,/api/v1/teams/109
162,81,81,0,164,82,82,2024,29491,28162,28827,45029,2024-03-28T00:00:00,9404,2024-07-29T00:00:00,28162,4669901,2388772,2281129,747060,/api/v1.1/game/747060/feed/live,day,/api/v1/game/747060/content,747007,/api/v1.1/game/747007/feed/live,day,/api/v1/game/747007/content,R,Regular Season,110,Baltimore Orioles,/api/v1/teams/110
162,81,81,0,164,81,83,2024,29448,32839,31143,36718,2024-06-16T00:00:00,26106,2024-04-12T00:00:00,32839,5045240,2385291,2659949,746945,/api/v1.1/game/746945/feed/live,day,/api/v1/game/746945/content,746978,/api/v1.1/game/746978/feed/live,day,/api/v1/game/746978/content,R,Regular Season,111,Boston Red Sox,/api/v1/teams/111
162,81,81,0,164,82,82,2024,31646,35923,33785,41040,2024-04-06T00:00:00,25900,2024-04-03T00:00:00,35923,5473126,2563332,2909794,746896,/api/v1.1/game/746896/feed/live,day,/api/v1/game/746896/content,746900,/api/v1.1/game/746900/feed/live,day,/api/v1/game/746900/content,R,Regular Season,112,Chicago Cubs,/api/v1/teams/112
162,81,81,0,165,83,82,2024,29863,24990,27426,44030,2024-03-28T00:00:00,10382,2024-04-08T00:00:00,24990,4443051,2418865,2024186,746737,/api/v1.1/game/746737/feed/live,day,/api/v1/game/746737/content,746735,/api/v1.1/game/746735/feed/live,day,/api/v1/game/746735/content,R,Regular Season,113,Cincinnati Reds,/api/v1/teams/113
161,81,80,1,166,82,84,2024,27311,25703,26512,37485,2024-07-20T00:00:00,12405,2024-08-07T00:00:00,25703,4268448,2212184,2056264,746613,/api/v1.1/game/746613/feed/live,day,/api/v1/game/746613/content,746604,/api/v1.1/game/746604/feed/live,day,/api/v1/game/746604/content,R,Regular Season,114,Cleveland Guardians,/api/v1/teams/114
161,80,81,0,163,81,82,2024,28878,31360,30127,48750,2024-09-27T00:00:00,18311,2024-04-10T00:00:00,31360,4850437,2310242,2540195,746494,/api/v1.1/game/746494/feed/live,day,/api/v1/game/746494/content,746573,/api/v1.1/game/746573/feed/live,day,/api/v1/game/746573/content,R,Regular Season,115,Colorado Rockies,/api/v1/teams/115
158,80,78,3,167,83,84,2024,27497,23824,25684,44711,2024-04-05T00:00:00,2532,2024-04-30T00:00:00,23026,4058067,2199772,1858295,746497,/api/v1.1/game/746497/feed/live,day,/api/v1/game/746497/content,746477,/api/v1.1/game/746477/feed/live,day,/api/v1/game/746477/content,R,Regular Season,116,Detroit Tigers,/api/v1/teams/116
161,80,81,0,162,81,81,2024,28240,35003,31643,42642,2024-03-28T00:00:00,25733,2024-05-01T00:00:00,35003,5094463,2259229,2835234,746418,/api/v1.1/game/746418/feed/live,day,/api/v1/game/746418/content,746399,/api/v1.1/game/746399/feed/live,day,/api/v1/game/746399/content,R,Regular Season,117,Houston Astros,/api/v1/teams/117
161,80,81,0,165,84,81,2024,25830,20473,23135,38775,2024-03-28T00:00:00,9740,2024-04-25T00:00:00,20473,3724775,2066428,1658347,746335,/api/v1.1/game/746335/feed/live,day,/api/v1/game/746335/content,746320,/api/v1.1/game/746320/feed/live,day,/api/v1/game/746320/content,R,Regular Season,118,Kansas City Royals,/api/v1/teams/118
161,80,81,0,163,82,81,2024,36253,48657,42494,54070,2024-07-24T00:00:00,15928,2024-03-21T00:00:00,48657,6841502,2900251,3941251,746119,/api/v1.1/game/746119/feed/live,day,/api/v1/game/746119/content,746175,/api/v1.1/game/746175/feed/live,day,/api/v1/game/746175/content,R,Regular Season,119,Los Angeles Dodgers,/api/v1/teams/119
161,80,81,0,164,83,81,2024,28044,24288,26154,40405,2024-04-01T00:00:00,11135,2024-04-04T00:00:00,24288,4210782,2243480,1967302,744875,/api/v1.1/game/744875/feed/live,day,/api/v1/game/744875/content,744870,/api/v1.1/game/744870/feed/live,day,/api/v1/game/744870/content,R,Regular Season,120,Washington Nationals,/api/v1/teams/120
159,80,79,2,170,85,85,2024,30771,29485,30132,53882,2024-06-08T00:00:00,15020,2024-05-28T00:00:00,28839,4791012,2461713,2329299,745814,/api/v1.1/game/745814/feed/live,day,/api/v1/game/745814/content,745818,/api/v1.1/game/745818/feed/live,day,/api/v1/game/745818/content,R,Regular Season,121,New York Mets,/api/v1/teams/121
